user; seconds; hints; translations; rotations; outlineVertices; outerOutlineVertices; numHoles; holeArea;holeVertices; holeType;perimeter; longestEdge; shortestEdge;rangeX; rangeY; convexPercentage; convexHullArea; symmetry; hangingPieces;matchedEdges ;matchedVertices
102682354;56;0;54;42;13;13;0;0;0;0;122,91169;24;3,51472;0;0;0,82113;701,47013;0;0;8;28
102682354;156;1;109;60;14;11;1;36;3;0;137,82338;25,45584;4,97056;0;0;0,79041;728,73506;0;0;6;28
102682354;140;0;97;55;14;10;1;36;4;0;127,88225;25,45584;3,51472;0;0;0,79041;728,73506;0;0;7;7
102682354;121;3;101;56;9;9;0;0;0;0;139,88225;48;8,48528;0;0;0,84211;684;0;0;8;13
104622907;181;0;51;27;12;12;0;0;0;0;132,85281;25,45584;3,51472;0;0;0,87707;656,73506;0;0;8;8
106441525;208;0;76;36;15;9;2;72;6;0;132,85281;40,97056;1,45584;0;0;0,83149;692,73506;0;0;6;9
106441525;88;0;42;25;13;13;0;0;0;0;156,85281;33,94113;3,51472;0;0;0,80692;713,82338;0;0;6;8
106441525;47;0;20;12;12;12;0;0;0;0;122,91169;24;3,51472;0;0;0,82113;701,47013;0;0;8;29
107467806;69;0;12;7;13;9;1;29,82338;4;0;108,85281;24;4,97056;0;0;0,83897;686,55844;0;0;7;13
114671064;85;0;36;25;11;11;0;0;0;0;163,88225;40,97056;8,48528;0;0;0,82628;697,1026;0;0;7;9
114671064;78;0;26;15;10;10;0;0;0;0;125,82338;28,97056;1,45584;0;0;0,85434;674,20519;0;0;8;12
114671064;216;0;105;65;11;11;0;0;0;0;163,88225;40,97056;8,48528;0;0;0,82628;697,1026;0;0;7;9
114671064;84;0;30;19;12;12;0;0;0;0;163,88225;54,42641;3,51472;0;0;0,81397;707,64675;0;0;6;8
114776686;69;0;56;43;9;9;0;0;0;0;108,85281;24;1,45584;0;0;0,83149;692,73506;0;0;9;10
118520991;136;0;62;32;11;11;0;0;0;0;125,82338;24;3,51472;0;0;0,82414;698,91169;0;0;8;12
118520991;222;0;108;35;12;12;0;0;0;0;156,85281;24;4,97056;0;0;0,81902;703,27922;0;0;7;9
118520991;71;0;22;10;11;8;1;36;3;0;127,88225;42,42641;3,51472;0;0;0,83149;692,73506;0;0;7;13
118520991;697;0;336;124;9;9;0;0;0;0;139,88225;36;3,51472;0;0;0,80404;716,38182;0;0;8;30
120407496;201;0;24;9;9;9;0;0;0;0;125,82338;28,97056;8,48528;0;0;0,81397;707,64675;0;0;9;30
120407496;123;1;94;118;14;10;1;29,82338;4;0;132,85281;42,42641;3,51472;0;0;0,84211;684;0;0;7;7
120407496;78;0;62;44;12;12;0;0;0;0;125,82338;25,45584;4,97056;0;0;0,84658;680,38182;0;0;7;8
120407496;41;0;40;29;12;12;0;0;0;0;125,82338;25,45584;4,97056;0;0;0,84658;680,38182;0;0;7;8
120407496;46;0;63;49;13;13;0;0;0;0;156,85281;24;3,51472;0;0;0,81397;707,64675;0;0;7;8
120407496;68;0;74;48;12;12;0;0;0;0;129,94113;25,45584;3,51472;0;0;0,87707;656,73506;0;0;8;8
120407496;21;0;21;10;13;13;0;0;0;0;156,85281;24;3,51472;0;0;0,81397;707,64675;0;0;7;8
120407496;27;0;23;13;13;13;0;0;0;0;122,91169;16,97056;3,51472;0;0;0,80692;713,82338;0;0;8;11
120407496;44;0;39;24;11;11;0;0;0;0;129,94113;36;3,51472;0;0;0,80692;713,82338;0;0;8;12
120503386;78;0;40;27;11;8;1;36;3;0;117,94113;24;8,48528;0;0;0,84211;684;0;0;7;35
120503386;520;6;165;119;13;13;0;0;0;0;139,88225;24;3,51472;0;0;0,82113;701,47013;0;0;8;8
120503386;125;2;92;69;12;12;0;0;0;0;139,88225;28,97056;3,51472;0;0;0,81902;703,27922;0;0;9;7
120503386;55;0;44;35;10;10;0;0;0;0;118,79394;24;1,45584;0;0;0,83897;686,55844;0;0;8;16
120503386;160;2;143;102;9;9;0;0;0;0;129,94113;25,45584;3,51472;0;0;0,86653;664,72078;0;0;9;9
120706615;84;0;46;28;16;13;1;36;3;0;134,91169;16,97056;3,51472;0;0;0,81397;707,64675;0;0;6;11
121713993;56;0;20;11;13;9;1;29,82338;4;0;118,79394;25,45584;4,97056;0;0;0,83897;686,55844;0;0;7;8
121713993;85;2;39;19;16;16;0;0;0;0;132,85281;16,97056;3,51472;0;0;0,78297;735,66104;0;0;7;6
125468531;313;7;87;54;10;10;0;0;0;0;125,82338;33,94113;3,51472;0;0;0,84978;677,82338;0;0;8;10
125468531;196;1;35;16;10;10;0;0;0;0;139,88225;25,45584;8,48528;0;0;0,84211;684;0;0;7;14
125468531;216;0;50;22;10;10;0;0;0;0;132,85281;32,48528;4,97056;0;0;0,83897;686,55844;0;0;8;9
130806979;235;0;112;79;12;12;0;0;0;0;146,91169;24;3,51472;0;0;0,82113;701,47013;0;0;8;8
130806979;53;0;35;26;12;12;0;0;0;0;139,88225;16,97056;3,51472;0;0;0,80404;716,38182;0;0;7;9
133518255;71;0;47;30;12;12;0;0;0;0;146,91169;16,97056;3,51472;0;0;0,84434;682,19091;0;0;8;8
158400820;86;5;44;32;11;11;0;0;0;0;122,91169;24;3,51472;0;0;0,82113;701,47013;0;0;9;12
159164261;557;0;300;194;11;11;0;0;0;0;129,94113;28,97056;3,51472;0;0;0,80692;713,82338;0;0;8;12
159164261;499;5;320;205;9;9;0;0;0;0;139,88225;48;4,97056;0;0;0,79518;724,36753;0;0;7;13
159164261;359;6;201;117;16;16;0;0;0;0;173,82338;32,48528;1,45584;0;0;0,81397;707,64675;0;0;6;6
159164261;88;0;54;30;11;11;0;0;0;0;146,91169;25,45584;3,51472;0;0;0,86321;667,27922;0;0;7;9
161600756;287;0;227;145;13;13;0;0;0;0;139,88225;24;4,97056;0;0;0,82414;698,91169;0;0;8;8
161601345;143;0;76;53;12;12;0;0;0;0;163,88225;33,94113;3,51472;0;0;0,87127;661,1026;0;0;7;8
181914893;115;3;38;20;16;16;0;0;0;0;173,82338;24;1,45584;0;0;0,78377;734,91169;0;0;6;7
181914893;475;6;171;81;10;10;0;0;0;0;115,88225;33,94113;3,51472;0;0;0,78765;731,29351;0;0;9;9
183180082;39;0;46;33;13;13;0;0;0;0;146,91169;25,45584;3,51472;0;0;0,80897;712,01429;0;0;8;7
183180082;68;0;77;56;10;10;0;0;0;0;122,91169;25,45584;3,51472;0;0;0,83897;686,55844;0;0;9;9
183180082;87;0;78;47;13;13;0;0;0;0;139,88225;24;3,51472;0;0;0,82628;697,1026;0;0;7;9
183180082;44;0;51;35;12;12;0;0;0;0;122,91169;24;3,51472;0;0;0,83897;686,55844;0;0;9;8
183180082;30;0;33;21;12;12;0;0;0;0;122,91169;24;3,51472;0;0;0,83897;686,55844;0;0;9;8
183180082;87;0;89;57;12;12;0;0;0;0;139,88225;24;3,51472;0;0;0,79717;722,55844;0;0;7;32
183180082;118;0;106;65;15;8;1;36;7;0;106,79394;28,97056;1,45584;0;0;0,88539;650,55844;0;0;7;7
183180082;46;0;58;42;12;12;0;0;0;0;139,88225;24;3,51472;0;0;0,79717;722,55844;0;0;7;32
183180082;53;0;55;36;12;9;1;72;3;0;129,94113;28,97056;3,51472;0;0;0,78765;731,29351;0;0;7;9
183180082;61;0;93;75;12;9;1;36;3;0;134,91169;42,42641;7,02944;0;0;0,84434;682,19091;0;0;7;9
197449485;673;2;247;158;12;12;0;0;0;0;166,79394;40,97056;4,97056;0;0;0,82843;695,29351;0;0;5;9
197449485;53;0;41;26;11;8;1;36;3;0;141,94113;33,94113;3,51472;0;0;0,82843;695,29351;0;0;6;9
199360700;63;0;74;46;10;10;0;0;0;0;132,85281;25,45584;4,97056;0;0;0,84978;677,82338;0;0;7;12
199360700;47;0;33;16;10;10;0;0;0;0;132,85281;36;4,97056;0;0;0,83585;689,11688;0;0;9;12
202388424;79;0;41;28;15;15;0;0;0;0;156,85281;24;1,45584;0;0;0,80202;718,19091;0;0;7;10
202388424;150;0;54;33;15;15;0;0;0;0;156,85281;24;1,45584;0;0;0,80202;718,19091;0;0;7;10
202388424;338;0;55;24;13;13;0;0;0;0;146,91169;24;3,51472;0;0;0,80897;712,01429;0;0;8;8
202388424;107;0;16;6;12;12;0;0;0;0;122,91169;24;3,51472;0;0;0,84978;677,82338;0;0;8;12
202388424;132;0;35;23;14;14;0;0;0;0;135,7645;16,97056;1,45584;0;0;0,80897;712,01429;0;0;7;8
202388424;81;0;21;14;12;12;0;0;0;0;122,91169;24;3,51472;0;0;0,84978;677,82338;0;0;8;12
202388424;173;1;39;12;13;13;0;0;0;0;163,88225;40,97056;3,51472;0;0;0,79238;726,92597;0;0;6;8
202388424;68;0;11;6;13;13;0;0;0;0;142,79394;24;1,45584;0;0;0,79518;724,36753;0;0;7;8
202388424;62;0;20;12;10;10;0;0;0;0;149,82338;25,45584;8,48528;0;0;0,8;720;0;0;7;31
202388424;188;0;59;35;13;13;0;0;0;0;132,85281;28,97056;3,51472;0;0;0,81397;707,64675;0;0;7;11
202388424;79;0;37;20;15;12;1;36;3;0;144,85281;24;4,97056;0;0;0,82628;697,1026;0;0;6;9
202569752;386;1;100;54;13;13;0;0;0;0;163,88225;25,45584;3,51472;0;0;0,83897;686,55844;0;0;7;11
202569752;222;1;44;22;10;10;0;0;0;0;129,94113;32,48528;3,51472;0;0;0,80692;713,82338;0;0;8;10
206214123;146;0;171;99;12;12;0;0;0;0;159,7645;25,45584;4,97056;0;0;0,81902;703,27922;0;0;6;8
208201165;40;0;36;26;14;14;0;0;0;0;135,7645;16,97056;4,97056;0;0;0,81397;707,64675;0;0;8;7
208201165;30;0;23;23;16;12;1;29,82338;4;0;122,91169;24;3,51472;0;0;0,80404;716,38182;0;0;8;6
208201165;153;4;163;105;8;8;0;0;0;0;122,91169;25,45584;3,51472;0;0;0,85759;671,64675;0;0;8;31
250457516;58;0;31;18;11;11;0;0;0;0;139,88225;24;3,51472;0;0;0,83897;686,55844;0;0;9;8
281430749;136;0;85;49;11;11;0;0;0;0;132,85281;24;4,97056;0;0;0,80897;712,01429;0;0;9;9
295184903;292;3;142;76;15;12;1;36;3;0;154,79394;24;4,97056;0;0;0,80897;712,01429;0;0;6;8
307267896;123;0;103;61;9;9;0;0;0;0;112,97056;24;3,51472;0;0;0,85759;671,64675;0;0;9;31
318768100;183;0;44;14;11;11;0;0;0;0;132,85281;25,45584;4,97056;0;0;0,82414;698,91169;0;0;9;8
368478414;497;0;189;118;15;8;2;95,64675;7;0;127,88225;40,97056;1,45584;0;0;0,80692;713,82338;0;0;6;11
368478414;96;0;51;33;14;14;0;0;0;0;149,82338;16,97056;3,51472;0;0;0,80404;716,38182;0;0;7;11
368478414;99;0;51;33;14;14;0;0;0;0;149,82338;16,97056;3,51472;0;0;0,80404;716,38182;0;0;7;11
368478414;256;0;167;96;10;7;1;36;3;0;110,91169;24;8,48528;0;0;0,8;720;0;0;8;10
523884118;128;4;112;73;10;10;0;0;0;0;125,82338;16,97056;1,45584;0;0;0,8;720;0;0;8;9
