user; seconds; hints; translations; rotations; outlineVertices; outerOutlineVertices;perimeter; longestEdge; shortestEdge; convexPercentage; convexHullArea;matchedEdges ;matchedVertices
120706615;84;0;46;28;16;13;134,91169;16,97056;3,51472;0,81397;707,64675;6;11
121713993;56;0;20;11;13;9;118,79394;25,45584;4,97056;0,83897;686,55844;7;8
121713993;85;2;39;19;16;16;132,85281;16,97056;3,51472;0,78297;735,66104;7;6
125468531;313;7;87;54;10;10;125,82338;33,94113;3,51472;0,84978;677,82338;8;10
125468531;196;1;35;16;10;10;139,88225;25,45584;8,48528;0,84211;684;7;14
125468531;216;0;50;22;10;10;132,85281;32,48528;4,97056;0,83897;686,55844;8;9
130806979;235;0;112;79;12;12;146,91169;24;3,51472;0,82113;701,47013;8;8
130806979;53;0;35;26;12;12;139,88225;16,97056;3,51472;0,80404;716,38182;7;9
133518255;71;0;47;30;12;12;146,91169;16,97056;3,51472;0,84434;682,19091;8;8
158400820;86;5;44;32;11;11;122,91169;24;3,51472;0,82113;701,47013;9;12
159164261;557;0;300;194;11;11;129,94113;28,97056;3,51472;0,80692;713,82338;8;12
159164261;499;5;320;205;9;9;139,88225;48;4,97056;0,79518;724,36753;7;13
159164261;359;6;201;117;16;16;173,82338;32,48528;1,45584;0,81397;707,64675;6;6
159164261;88;0;54;30;11;11;146,91169;25,45584;3,51472;0,86321;667,27922;7;9
161600756;287;0;227;145;13;13;139,88225;24;4,97056;0,82414;698,91169;8;8
161601345;143;0;76;53;12;12;163,88225;33,94113;3,51472;0,87127;661,1026;7;8
181914893;115;3;38;20;16;16;173,82338;24;1,45584;0,78377;734,91169;6;7
181914893;475;6;171;81;10;10;115,88225;33,94113;3,51472;0,78765;731,29351;9;9
183180082;39;0;46;33;13;13;146,91169;25,45584;3,51472;0,80897;712,01429;8;7
183180082;68;0;77;56;10;10;122,91169;25,45584;3,51472;0,83897;686,55844;9;9
183180082;87;0;78;47;13;13;139,88225;24;3,51472;0,82628;697,1026;7;9
183180082;44;0;51;35;12;12;122,91169;24;3,51472;0,83897;686,55844;9;8
183180082;30;0;33;21;12;12;122,91169;24;3,51472;0,83897;686,55844;9;8
183180082;87;0;89;57;12;12;139,88225;24;3,51472;0,79717;722,55844;7;32
183180082;118;0;106;65;15;8;106,79394;28,97056;1,45584;0,88539;650,55844;7;7
183180082;46;0;58;42;12;12;139,88225;24;3,51472;0,79717;722,55844;7;32
183180082;53;0;55;36;12;9;129,94113;28,97056;3,51472;0,78765;731,29351;7;9
183180082;61;0;93;75;12;9;134,91169;42,42641;7,02944;0,84434;682,19091;7;9
197449485;673;2;247;158;12;12;166,79394;40,97056;4,97056;0,82843;695,29351;5;9
197449485;53;0;41;26;11;8;141,94113;33,94113;3,51472;0,82843;695,29351;6;9
199360700;63;0;74;46;10;10;132,85281;25,45584;4,97056;0,84978;677,82338;7;12
199360700;47;0;33;16;10;10;132,85281;36;4,97056;0,83585;689,11688;9;12
202388424;79;0;41;28;15;15;156,85281;24;1,45584;0,80202;718,19091;7;10
202388424;150;0;54;33;15;15;156,85281;24;1,45584;0,80202;718,19091;7;10
202388424;338;0;55;24;13;13;146,91169;24;3,51472;0,80897;712,01429;8;8
202388424;107;0;16;6;12;12;122,91169;24;3,51472;0,84978;677,82338;8;12
202388424;132;0;35;23;14;14;135,7645;16,97056;1,45584;0,80897;712,01429;7;8
202388424;81;0;21;14;12;12;122,91169;24;3,51472;0,84978;677,82338;8;12
202388424;173;1;39;12;13;13;163,88225;40,97056;3,51472;0,79238;726,92597;6;8
202388424;68;0;11;6;13;13;142,79394;24;1,45584;0,79518;724,36753;7;8
202388424;62;0;20;12;10;10;149,82338;25,45584;8,48528;0,8;720;7;31
202388424;188;0;59;35;13;13;132,85281;28,97056;3,51472;0,81397;707,64675;7;11
202388424;79;0;37;20;15;12;144,85281;24;4,97056;0,82628;697,1026;6;9
202569752;386;1;100;54;13;13;163,88225;25,45584;3,51472;0,83897;686,55844;7;11
202569752;222;1;44;22;10;10;129,94113;32,48528;3,51472;0,80692;713,82338;8;10
206214123;146;0;171;99;12;12;159,7645;25,45584;4,97056;0,81902;703,27922;6;8
208201165;40;0;36;26;14;14;135,7645;16,97056;4,97056;0,81397;707,64675;8;7
208201165;30;0;23;23;16;12;122,91169;24;3,51472;0,80404;716,38182;8;6
208201165;153;4;163;105;8;8;122,91169;25,45584;3,51472;0,85759;671,64675;8;31
250457516;58;0;31;18;11;11;139,88225;24;3,51472;0,83897;686,55844;9;8
281430749;136;0;85;49;11;11;132,85281;24;4,97056;0,80897;712,01429;9;9
295184903;292;3;142;76;15;12;154,79394;24;4,97056;0,80897;712,01429;6;8
307267896;123;0;103;61;9;9;112,97056;24;3,51472;0,85759;671,64675;9;31
318768100;183;0;44;14;11;11;132,85281;25,45584;4,97056;0,82414;698,91169;9;8
368478414;497;0;189;118;15;8;127,88225;40,97056;1,45584;0,80692;713,82338;6;11
368478414;96;0;51;33;14;14;149,82338;16,97056;3,51472;0,80404;716,38182;7;11
368478414;99;0;51;33;14;14;149,82338;16,97056;3,51472;0,80404;716,38182;7;11
368478414;256;0;167;96;10;7;110,91169;24;8,48528;0,8;720;8;10
523884118;128;4;112;73;10;10;125,82338;16,97056;1,45584;0,8;720;8;9
